Primary Clustering,,,Second Clustering,,,Comparison Values,,,Graph Tables,
Cluster 0,,,Cluster 0,,,Comparison Values,,,Primary Cluster 0 Table,
"SRIKUMAR, V.","[84, 61, 17, 2, 1, 0, 0]",,"VENKATASUBRAMANIAN, S.","""I work in algorithms and computational geometry, with a current focus on data mining and large-data (and large-dimension) geometric questions.""",,jshat,0.13755688755688752,,Secondary Cluster Index,Count,
"VAN DER MERWE, J. E.","[237, 167, 95, 10, 13, 12, 0]",,"Ramalingam, S.","""Computer Vision, Machine Learning, Robotics (Autonomous Driving applications), and Discrete Optimization""",,purity,0.8571428571428571,,0,9,
"JENSEN, P. A.","[837, 429, 154, 85, 64, 9, 0]",,"DE ST GERMAIN, H. J.","""Reverse Engineering and Constraint Optimization, Artificial Intelligence, technological aids for education""",,fowlkes mallows index,0.3934252248586044,,1,0,
"BERZINS, M.","[108, 80, 13, 3, 7, 6, 0]",,"YUKSEL, C.","""Computer Graphics -- physically-based simulation, image synthesis, GPU algorithms.""",,,,,2,1,
"DE ST GERMAIN, H. J.","[664, 443, 87, 14, 50, 19, 0]",,"KOPTA, D. M.","""Ray tracing, computer graphics, computer architecture""",,,,,3,0,
"LI, F.","[196, 180, 23, 7, 1, 3, 0]",,"JENSEN, P. A.",na,,,,,4,0,
"SUNDAR, H.","[70, 103, 10, 0, 8, 5, 0]",,"BHASKARA, A.",Theoretical computer science and machine learning.,,,,,5,0,
"HALL, M. W.","[137, 66, 27, 3, 10, 2, 0]",,"WIESE, J.","""Personal data, HCI""",
"BHASKARA, A.","[14, 3, 1, 0, 2, 0, 0]",,"FLATT, M.",Practical and theoretical aspects of programming languages and programming environments.,,,,,Primary Cluster 1 Table,
"FLATT, M.","[364, 169, 77, 15, 22, 21, 0]",,"SRIKUMAR, V.",Machine Learning; Natural Language Processing,,,,,Secondary Cluster Index,Count,
,,,"BRUNVAND, E. L.",Computer architecture and VLSI systems,,,,,0,6,
Cluster 1,,,"Jones, B.","""Computer graphics, physical simulation""",,,,,1,0,
"Hermans, T.","[0, 0, 0, 0, 0, 0, 0]",,"BERZINS, M.",My research area is the study of novel computational algorithms for the numerical solution of partial differential equations (p.d.e.s).,,,,,2,0,
"Kessler, B.","[0, 0, 0, 0, 0, 0, 0]",,"ZACHARY, J. L.","""I do research into the application of computers to education, and I teach extensively at the undergraduate and graduate levels.""",,,,,3,1,
"Young, R.","[0, 0, 0, 0, 0, 0, 0]",,"HANSEN, C. D.","""Visualization, computer graphics, parallel computation, computer vision""",,,,,4,0,
"Jones, B.","[0, 0, 0, 0, 0, 0, 0]",,"LI, F.","""Database systems and large-scale data management systems for various data sources, formats, applications, and data processing environments. Security issues in data management.""",,,,,5,0,
"Ramalingam, S.","[0, 0, 0, 0, 0, 0, 0]",,"DENNING, T.","""Security and Privacy, Human-Centric Computing""",
"Cardona-Rivera, R.","[0, 0, 0, 0, 0, 0, 0]",,"PARKER, D.",na,,,,,Primary Cluster 2 Table,
"Bojnordi, M.","[0, 0, 0, 0, 0, 0, 0]",,"ZHE, S.","""Probabilistic graphical models, Bayesian nonparametric, approximate inference, Bayesian deep learning, sparse learning, large-scale machine learning and kernel methods.""",,,,,Secondary Cluster Index,Count,
,,,"JOHNSON, C. R.",Scientific Computing and Visualization,,,,,0,3,
Cluster 2,,,"WHITAKER, R. T.","""Image processing, medical image analysis, data analysis and visualization, geometry processing""",,,,,1,0,
"ZACHARY, J. L.","[942, 888, 415, 102, 294, 67, 0]",,"Kessler, B.",Systems software and software engineering,,,,,2,0,
"PARKER, D.","[504, 614, 276, 128, 223, 12, 0]",,"JOHNSON, D. E.","""Geometric computation, haptics, robotics, educational research""",,,,,3,0,
"COHEN, E.","[119, 88, 67, 30, 45, 0, 0]",,"REGEHR, J.","""Embedded systems, sensor networks, static analysis, real-time systems, operating systems""",,,,,4,0,
,,,"BROWN, S. M.",Chemical Sensors; Neural Interfaces; Electronic Circuit Clocking; Circuit Design; High Performance Microprocessors; Mixed Signal Microprocessors; Biomedical Implants.,,,,,5,0,
Cluster 3,,,"COHEN, E.","""Problems in modeling, graphics, and visualization which require geometric computation and analysis.""",
"STUTSMAN, R.","[92, 58, 8, 1, 2, 0, 0]",,"RILOFF, E. M.","""Natural language processing, information retrieval, and artificial intelligence""",,,,,Primary Cluster 3 Table,
"ZHE, S.","[47, 9, 2, 0, 2, 0, 0]",,"SUNDAR, H.",Parallel algorithms; scientific computing; inverse problems; soft tissue and cardiovascular mechanics; image analysis,,,,,Secondary Cluster Index,Count,
"JOHNSON, C. R.","[10, 0, 0, 0, 0, 0, 0]",,"HALL, M. W.","""Our research focuses on compiler-based approaches to obtaining high performance on state-of-the-art and experimental architectures, including multi-cores""",,,,,0,11,
"BRUNVAND, E. L.","[94, 23, 3, 0, 2, 0, 0]",,"Young, R.","""Artificial Intelligence, Video games, Interactive narrative""",,,,,1,1,
"VENKATASUBRAMANIAN, S.","[19, 4, 1, 0, 1, 0, 0]",,"HOLLERBACH, J. M.","""Robotics, teleoperation, virtual reality, and human motor control""",,,,,2,1,
"WHITAKER, R. T.","[26, 0, 0, 0, 0, 0, 0]",,"HENDERSON, T. C.",The long range goals of my research are to contribute to the understanding of human intelligence and to participate in the development of intelligent machine systems.,,,,,3,0,
"HOLLERBACH, J. M.","[67, 13, 4, 1, 4, 0, 0]",,"PHILLIPS, J.","""Algorithms for Data Analytics: Handling Uncertainty, Computational Geometry, Data Mining, Machine Learning, Computational Statistics, Databases""",,,,,4,1,
"HENDERSON, T. C.","[185, 102, 11, 0, 7, 0, 0]",,"GOPALAKRISHNAN, G.","""Dynamic formal verification of message passing (MPI) and thread programs, formal analysis/verification of protocols, Verification tool development""",,,,,5,0,
"BROWN, S. M.","[9, 0, 0, 0, 0, 0, 0]",,"Cardona-Rivera, R.","""Computational psychology, artificial intelligence, game design, interactive narrative""",
"KASERA, S. K.","[46, 17, 2, 0, 0, 1, 0]",,"Bojnordi, M.","""Computer architecture, new memory technologies, high-performance memory systems, and energy-efficient computing.""",,,,,Primary Cluster 4 Table,
"PHILLIPS, J.","[150, 76, 14, 1, 3, 0, 0]",,,,,,,,Secondary Cluster Index,Count,
"KAVAN, L.","[185, 13, 4, 0, 0, 2, 0]",,Cluster 1,,,,,,0,5,
"WIESE, J.","[58, 35, 1, 0, 0, 0, 0]",,"STUTSMAN, R.","""Distributed Systems, Operating Systems, and Databases""",,,,,1,0,
"DENNING, T.","[53, 27, 5, 1, 1, 0, 0]",,,,,,,,2,0,
,,,Cluster 2,,,,,,3,0,
Cluster 4,,,"VAN DER MERWE, J. E.","""Networking systems research including network management, control and operation, mobile networking, network evolution, network security and cloud computing.""",,,,,4,0,
"JOHNSON, D. E.","[799, 459, 162, 46, 137, 41, 0]",,"KASERA, S. K.","""Networks and systems - technologies, protocols and applications encompassing mobile and pervasive systems and wireless networks, network security and reliability""",,,,,5,1,
"GOPALAKRISHNAN, G.","[181, 198, 56, 19, 46, 0, 0]",
"YUKSEL, C.","[64, 47, 31, 6, 0, 0, 0]",,Cluster 3,,,,,,Primary Cluster 5 Table,
"KOPTA, D. M.","[525, 477, 140, 43, 65, 9, 0]",,"Hermans, T.",Autonomous learning and perception in robots,,,,,Secondary Cluster Index,Count,
"KIRBY II, R. M.","[40, 62, 11, 0, 10, 5, 0]",,,,,,,,0,2,
"HANSEN, C. D.","[122, 85, 41, 8, 15, 7, 0]",,Cluster 4,,,,,,1,0,
,,,"KAVAN, L.",Computer graphics and animation.,,,,,2,0,
Cluster 5,,,,,,,,,3,0,
"REGEHR, J.","[35, 64, 15, 1, 1, 0, 0]",,Cluster 5,,,,,,4,0,
"RILOFF, E. M.","[40, 42, 6, 0, 0, 0, 0]",,"KIRBY II, R. M.",Scientific computing and visualization,,,,,5,0,
