Primary Clustering,,,Second Clustering,,,Comparison Values,,,Graph Tables,
Cluster 0,,,Cluster 0,,,Comparison Values,,,Primary Cluster 0 Table,
Cluster 13,,,,,,,,,1,0,
"WHITAKER, R. T.","""Image processing, medical image analysis, data analysis and visualization, geometry processing""",
"KIRBY II, R. M.",Scientific computing and visualization,,,,,,,,Primary Cluster 13 Table,
"SUNDAR, H.",Parallel algorithms; scientific computing; inverse problems; soft tissue and cardiovascular mechanics; image analysis,,,,,,,,Secondary Cluster Index,Count,
"JOHNSON, C. R.",Scientific Computing and Visualization,,,,,,,,0,4,
,,,,,,,,,1,0,
Cluster 14,
"WIESE, J.","""Personal data, HCI""",,,,,,,,Primary Cluster 14 Table,
,,,,,,,,,Secondary Cluster Index,Count,
,,,,,,,,,0,1,
,,,,,,,,,1,0,
