Primary Clustering,,,Second Clustering,,,Comparison Values,,,Graph Tables,
Cluster 0,,,Cluster 0,,,Comparison Values,,,Primary Cluster 0 Table,
"VAN DER MERWE, J. E.","""Networking systems research including network management, control and operation, mobile networking, network evolution, network security and cloud computing.""",,,,,,,,2,0,
"KASERA, S. K.","""Networks and systems - technologies, protocols and applications encompassing mobile and pervasive systems and wireless networks, network security and reliability""",,Cluster 4,,,,,,3,0,
,,,"BROWN, S. M.","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,,,,4,0,
Cluster 8,,,"KAVAN, L.","[0.907, 0.064, 0.02, 0.0, 0.0, 0.01, 0.0]",,,,,5,1,
"BRUNVAND, E. L.",Computer architecture and VLSI systems,,"WHITAKER, R. T.","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
,,,"JOHNSON, C. R.","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,,,,Primary Cluster 5 Table,
Cluster 9,,,,,,,,,Secondary Cluster Index,Count,
"BROWN, S. M.",Chemical Sensors; Neural Interfaces; Electronic Circuit Clocking; Circuit Design; High Performance Microprocessors; Mixed Signal Microprocessors; Biomedical Implants.,,Cluster 5,,,,,,0,2,
"Bojnordi, M.","""Computer architecture, new memory technologies, high-performance memory systems, and energy-efficient computing.""",,"YUKSEL, C.","[0.432, 0.318, 0.209, 0.041, 0.0, 0.0, 0.0]",,,,,1,2,
,,,"HALL, M. W.","[0.559, 0.269, 0.11, 0.012, 0.041, 0.008, 0.0]",,,,,2,1,
Cluster 10,,,"FLATT, M.","[0.545, 0.253, 0.115, 0.022, 0.033, 0.031, 0.0]",,,,,3,0,
"LI, F.","""Database systems and large-scale data management systems for various data sources, formats, applications, and data processing environments. Security issues in data management.""",,"JENSEN, P. A.","[0.53, 0.272, 0.098, 0.054, 0.041, 0.006, 0.0]",,,,,4,0,
"PHILLIPS, J.","""Algorithms for Data Analytics: Handling Uncertainty, Computational Geometry, Data Mining, Machine Learning, Computational Statistics, Databases""",,"BHASKARA, A.","[0.7, 0.15, 0.05, 0.0, 0.1, 0.0, 0.0]",,,,,5,0,
"Ramalingam, S.","""Computer Vision, Machine Learning, Robotics (Autonomous Driving applications), and Discrete Optimization""",
"ZHE, S.","""Probabilistic graphical models, Bayesian nonparametric, approximate inference, Bayesian deep learning, sparse learning, large-scale machine learning and kernel methods.""",,,,,,,,Primary Cluster 6 Table,
"BHASKARA, A.",Theoretical computer science and machine learning.,,,,,,,,Secondary Cluster Index,Count,
,,,,,,,,,0,1,
Cluster 11,,,,,,,,,1,1,
"HANSEN, C. D.","""Visualization, computer graphics, parallel computation, computer vision""",,,,,,,,2,0,
,,,,,,,,,3,1,
Cluster 12,,,,,,,,,4,1,
"FLATT, M.",Practical and theoretical aspects of programming languages and programming environments.,,,,,,,,5,1,

Cluster 13,,,,,,,,,Primary Cluster 7 Table,
"WHITAKER, R. T.","""Image processing, medical image analysis, data analysis and visualization, geometry processing""",,,,,,,,Secondary Cluster Index,Count,
"KIRBY II, R. M.",Scientific computing and visualization,,,,,,,,0,1,
"SUNDAR, H.",Parallel algorithms; scientific computing; inverse problems; soft tissue and cardiovascular mechanics; image analysis,,,,,,,,1,0,
"JOHNSON, C. R.",Scientific Computing and Visualization,,,,,,,,2,2,
,,,,,,,,,3,0,
Cluster 14,,,,,,,,,4,0,
"WIESE, J.","""Personal data, HCI""",,,,,,,,5,0,

,,,,,,,,,Primary Cluster 8 Table,
,,,,,,,,,Secondary Cluster Index,Count,
,,,,,,,,,0,0,
,,,,,,,,,1,0,
,,,,,,,,,2,1,
,,,,,,,,,3,0,
,,,,,,,,,4,0,
,,,,,,,,,5,0,

,,,,,,,,,Primary Cluster 9 Table,
,,,,,,,,,Secondary Cluster Index,Count,
,,,,,,,,,0,0,
,,,,,,,,,1,1,
,,,,,,,,,2,0,
,,,,,,,,,3,0,
,,,,,,,,,4,1,
,,,,,,,,,5,0,

,,,,,,,,,Primary Cluster 10 Table,
,,,,,,,,,Secondary Cluster Index,Count,
,,,,,,,,,0,0,
,,,,,,,,,1,1,
,,,,,,,,,2,3,
,,,,,,,,,3,0,
,,,,,,,,,4,0,
,,,,,,,,,5,1,

,,,,,,,,,Primary Cluster 11 Table,
,,,,,,,,,Secondary Cluster Index,Count,
,,,,,,,,,0,1,
,,,,,,,,,1,0,
,,,,,,,,,2,0,
,,,,,,,,,3,0,
,,,,,,,,,4,0,
,,,,,,,,,5,0,

,,,,,,,,,Primary Cluster 12 Table,
,,,,,,,,,Secondary Cluster Index,Count,
,,,,,,,,,0,0,
,,,,,,,,,1,0,
,,,,,,,,,2,0,
,,,,,,,,,3,0,
,,,,,,,,,4,0,
,,,,,,,,,5,1,

,,,,,,,,,Primary Cluster 13 Table,
,,,,,,,,,Secondary Cluster Index,Count,
,,,,,,,,,0,1,
,,,,,,,,,1,0,
,,,,,,,,,2,0,
,,,,,,,,,3,1,
,,,,,,,,,4,2,
,,,,,,,,,5,0,

,,,,,,,,,Primary Cluster 14 Table,
,,,,,,,,,Secondary Cluster Index,Count,
,,,,,,,,,0,0,
,,,,,,,,,1,0,
,,,,,,,,,2,1,
,,,,,,,,,3,0,
,,,,,,,,,4,0,
,,,,,,,,,5,0,
